"title_name","title_price","title_sub_title","title_mileage","title_year","title_engine_l","title_engine_type","title_localization_1","title_localization_2","title_negotiable"
"Audi A3","9 900","1.6 tdi,klimatronic","159 000 km","2012","1 598 cm3","Diesel","Nakło nad Notecią","(Kujawsko-pomorskie)",""
"Audi A6 2.0","33 000","100% bezwypadku gwarancja do 12 m full opcja","228 000 km","2007","1 968 cm3","Diesel","Rudawa","(Małopolskie)","Do negocjacji"
"Ford Mondeo","37 900","TITANIUM 2.0 140KM Automat Jasne Skóry Convers+ Duża Navi Szyberdach","169 000 km","2014","2 000 cm3","Diesel","Kielce","(Świętokrzyskie)",""
"Toyota RAV4 2.0","14 500","Toyota RAV4,4x4 zdecydowanie sprzedam","374 000 km","2005","1 995 cm3","Diesel","Szczecinek","(Zachodniopomorskie)","Do negocjacji"
"Toyota Corolla 1.6","12 800","Wyjątkowo Zadbana Toyota Corolla 1,6 VVTI # Skóry, Grzane Fotele WaWa","128 000 km","2005","1 598 cm3","Benzyna","Żyrardów","(Mazowieckie)","Do negocjacji"
"Peugeot 308 CC","10 500","Peugeot 308 CC Cabrio 2.0 HDI 140km","223 000 km","2009","2 000 cm3","Diesel","Ostrów Wielkopolski","(Wielkopolskie)",""
"Mercedes-Benz Klasa A 170","3 600","Mercedes Klasa A w168 od właściciela 140 000 km","140 000 km","2000","1 689 cm3","Diesel","Opole","(Opolskie)",""
"Toyota Yaris 1.3","11 600","Bardzo dobrym stanie","126 000 km","2006","1 298 cm3","Benzyna+LPG","Zgierz","(Łódzkie)",""
"Suzuki SX4 1.6","24 000","Suzuki SX4","98 000 km","2009","1 586 cm3","Benzyna","Pszczyna","(Śląskie)",""
"Mitsubishi ASX","36 700","2.0i 150KM AWD automat kamera FV VAT netto:29.900zł","87 000 km","2017","2 000 cm3","Benzyna","Ogrodzieniec","(Śląskie)","Do negocjacji, Faktura VAT"
"Volkswagen Passat 1.9","5 500","","391 231 km","2005","1 896 cm3","Diesel","Staniszów","(Dolnośląskie)","Do negocjacji"
"Citroën Berlingo 1.6","6 500","Anglik, prosze czytać opis do końca , posiadam dowód V5","442 584 km","2013","1 560 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Volkswagen Golf","45 000","Rezerwacja","51 856 km","2015","1 968 cm3","Diesel","Częstochowa","(Śląskie)",""
"Audi A4 Avant","10 000","Sprzedam Audi A4 Quattro","239 000 km","1999","2 393 cm3","Benzyna+LPG","Lubomin","(Mazowieckie)",""
"Honda Jazz 1.4","7 800","Po Opłatach 256 zł. Rejestracja.","141 419 km","2004","1 339 cm3","Benzyna","Gryfów Śląski","(Dolnośląskie)",""
"Renault Megane 1.2","31 900","Coupe TCe 130KM Salon RP I WŁ Bezwypadkowy 35TKM Podgrzewane Fotele","35 413 km","2015","1 197 cm3","Benzyna","Łódź","(Łódzkie)",""
"Hyundai Santa Fe","23 500","","132 000 km","2007","2 188 cm3","Diesel","Chodzież","(Wielkopolskie)","Do negocjacji"
"Ford Mondeo 2.2","19 900","Bardzo ładny Ford Mondeo Mega Fulll","290 000 km","2008","2 179 cm3","Diesel","Ostrów Mazowiecka","(Mazowieckie)","Do negocjacji"
"Lincoln Navigator","25 900","","140 000 km","2006","540 cm3","Benzyna+LPG","Wójtowo","(Warmińsko-mazurskie)","Do negocjacji"
"Fiat Punto Evo 1.4","17 000","LPG, salon PL, udokumentowany przebieg, gwarancja, zobacz film","126 000 km","2010","1 368 cm3","Benzyna+LPG","Rabka-Zdrój","(Małopolskie)",""
"Volkswagen Tiguan","34 500","Volkswagen Tiguan","238 667 km","2009","1 968 cm3","Diesel","Liszki","(Małopolskie)",""
"Opel Astra","13 500","","194 000 km","2005","Benzyna","","Pruszków","(Mazowieckie)","Do negocjacji"
"Kia Sorento","59 900","Full opcja 53tyś km 7 osobowy","53 000 km","2017","2 199 cm3","Diesel","Krosno","(Podkarpackie)","Do negocjacji"
"Hyundai Tucson","16 500","2.0 16v 140KM 4WD Klimatronic Serwis Opłacony Alu 16'' Lato+Zima 4x4","202 000 km","2005","2 000 cm3","Benzyna","Staszów","(Świętokrzyskie)","Do negocjacji"
"Toyota Auris","9 900","1.4 D4D,klimatronic,navi,kamera","85 000 km","2012","1 364 cm3","Diesel","Nakło nad Notecią","(Kujawsko-pomorskie)",""
"BMW Seria 3","18 500","E91 / Bezwypadkowy / Nawigacja / Zadbany / Zamiana","307 000 km","2007","1 995 cm3","Diesel","Malbork","(Pomorskie)","Do negocjacji"
"Ford S-Max","14 800","7-osobowy zarejestrowany klimatronic 2.0TDCI","276 000 km","2006","1 997 cm3","Diesel","Kwileń","(Wielkopolskie)","Do negocjacji"
"Hyundai Tucson I","17 900","","117 779 km","2007","1 975 cm3","Benzyna","Wałcz","(Zachodniopomorskie)",""
"Chrysler PT Cruiser","3 800","Diesel klimatyzacja alufelgi zadbany","243 000 km","2002","2 148 cm3","Diesel","Kwileń","(Wielkopolskie)","Do negocjacji"
"Volkswagen Polo 1.4","6 500","Volkswagen Polo IV // 1,4 TDI // 2006 // 211000 km","211 000 km","2006","1 422 cm3","Diesel","Kalisz","(Wielkopolskie)",""
"Seat Leon","2 900","1.6 Benzyna 101KM zarejestrowany 100% Sprawny","240 000 km","2000","1 595 cm3","Benzyna","Kwileń","(Wielkopolskie)","Do negocjacji"
"Fiat Panda","4 000","Panda 1.1 w dobrym stanie","181 000 km","2005","1 108 cm3","Benzyna","Borówiec","(Wielkopolskie)","Do negocjacji"
"Škoda Octavia","14 700","Lifting zarejestrowana TDI KLIMA kombi","311 000 km","2010","1 598 cm3","Diesel","Kwileń","(Wielkopolskie)","Do negocjacji"
"BMW Seria 5","28 500","BMW Seria 5 E60 Piękny Automat Nowy Rozrząd Xenon Joystick LIFT","293 000 km","2009","1 995 cm3","Diesel","Legnica","(Dolnośląskie)","Do negocjacji"
"Mercedes-Benz SLK","21 800","SLK z Gazem zarejestrowane okazja","334 000 km","2004","1 791 cm3","Benzyna+LPG","Kwileń","(Wielkopolskie)","Do negocjacji"
"Suzuki SX4 S-Cross 1.6","48 500","Pierwszy właściciel, bezwypadkowy","82 000 km","2015","1 586 cm3","Benzyna","Toruń","(Kujawsko-pomorskie)",""
"Opel Corsa","3 900","Benzyna Klima","140 000 km","2001","973 cm3","Benzyna","Drezdenko","(Lubuskie)",""
"Mazda 3","44 400","","66 079 km","2016","Diesel","","Kałkowskie","(Wielkopolskie)","Do negocjacji"
"Volkswagen Polo","6 900","","163 000 km","2005","1 200 cm3","Benzyna","Kałuszyn","(Mazowieckie)",""
"Alfa Romeo 159","14 900","1.9 JTD 136KM skóry alu klima tempomat OPŁACONA","203 000 km","2008","1 910 cm3","Diesel","Płock","(Mazowieckie)","Do negocjacji"
"Toyota Yaris 1.33","18 900","1,33 VVTI benzyna, klimatyzacja, 2 kpl kół","124 000 km","2010","1 329 cm3","Benzyna","Chabielice Kolonia","(Łódzkie)","Do negocjacji"
"Ford Focus 2.0","3 100","","258 000 km","2005","1 997 cm3","Diesel","Lublin","(Lubelskie)","Do negocjacji"
"Volvo V40 CC","40 000","VOLVO V40 Cross Country cesja","63 440 km","2016","1 969 cm3","Benzyna","Lublin","(Lubelskie)","Do negocjacji, Faktura VAT"
"Opel Signum 1.9","5 000","Opel Signum 1.9 cdti 150 KM Lift OKAZJA!","228 714 km","2006","1 910 cm3","Diesel","Gniezno","(Wielkopolskie)","Do negocjacji"
"Ford Mustang 5.0","104 000","Ford Mustang GT 514km","56 000 km","2013","4 951 cm3","Benzyna","Jastrzębie-Zdrój","(Śląskie)","Do negocjacji"
"Peugeot 308 1.6","10 500","Peugeot 308SW","204 000 km","2008","1 560 cm3","Diesel","Łódź","(Łódzkie)","Do negocjacji"
"Audi A6","27 800","Prywatne","260 000 km","2005","3 000 cm3","Diesel","Siedlce","(Mazowieckie)","Do negocjacji"
"Audi A6","68 300","","103 000 km","2013","Benzyna","","Warszawa","(Mazowieckie)","Do negocjacji"
"Toyota Avensis 1.8","22 999","exclusive 1.8 benzyna navi chrom hak 100% oryginał lakier serwis ASO!","161 000 km","2008","1 794 cm3","Benzyna","Augustów","(Podlaskie)","Do negocjacji"
"Volkswagen Passat 2.0","23 900","Passat B6 2010r. Super Stan i wyposażenie!","238 000 km","2010","1 968 cm3","Diesel","Ożarów Mazowiecki","(Mazowieckie)","Do negocjacji"
"Nissan Qashqai","25 800","Serwisowany ,B.Ładny !","158 000 km","2012","1 596 cm3","Benzyna","Kłodzko","(Dolnośląskie)",""
"Hyundai ix35","36 900","","195 000 km","2010","Diesel","","Warszawa","(Mazowieckie)","Do negocjacji"
"Mitsubishi Outlander 2.0","69 000","sprzedam Outlandera","19 505 km","2018","1 998 cm3","Benzyna","Kobyłka","(Mazowieckie)","Faktura VAT"
"Audi A6 2.7T","9 800","4x4 doinwestowany Manual 6 biegowy Podgrzewane fotele","276 000 km","2000","2 671 cm3","Benzyna","Chorzów","(Śląskie)",""
"Renault Megane","25 950","Mały przebieg","77 000 km","2013","1 200 cm3","Benzyna","Konin","(Wielkopolskie)","Do negocjacji"
"Seat Alhambra","3 999","Lift!2.8v6+świeży Gaz.Silnik żyleta!7osob!Doinwestowany!Mega Okazja!","264 100 km","2002","2 800 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)","Do negocjacji"
"Peugeot 3008 1.6","27 700","PEUGEOT_3008_Premium_Pack","184 300 km","2011","1 560 cm3","Diesel","Ostrowiec Świętokrzyski","(Świętokrzyskie)","Do negocjacji"
"Fiat Sedici 1.6","17 900","1.6 Benzyna Salon Polska Serwisowany","234 800 km","2009","1 586 cm3","Benzyna","Tarnów","(Małopolskie)",""
"Volkswagen Golf Plus 1.9","14 000","sprzedam VW Golf 5 Plus","161 000 km","2005","1 896 cm3","Diesel","Września","(Wielkopolskie)","Do negocjacji"
"Opel Combo","17 500","","171 980 km","2012","1 598 cm3","Diesel","Buk","(Wielkopolskie)","Do negocjacji"
"Toyota Avensis 1.8","19 000","Toyota Avensis od pierwszego właściciela 170 tys. km, polski salon","170 000 km","2007","1 794 cm3","Benzyna","Otrębusy","(Mazowieckie)",""
"Suzuki Swift 1.6","10 000","Suzuki Swift Sport 2007 Sprzedam lub zamienię na minivan.","170 000 km","2007","1 586 cm3","Benzyna","Wieliczka","(Małopolskie)","Do negocjacji"
"Volkswagen Lupo 1.4","5 500","Volkswagen Lupo Automat","166 500 km","2000","1 390 cm3","Benzyna","Bytom","(Śląskie)",""
"Volkswagen Transporter","45 000","VW T5 Transporter Faktura VAT","184 000 km","2012","1 968 cm3","Diesel","Łubniany","(Opolskie)","Faktura VAT"
"Volkswagen Passat","7 400","B5FL 1.9 TDI 130km","240 000 km","2002","1 896 cm3","Diesel","Rudawa","(Małopolskie)","Do negocjacji"
"Mercedes-Benz Klasa C","175 000","MERCEDES C63 AMG Edition 507 W204","80 000 km","2014","6 200 cm3","Benzyna","Szprotawa","(Lubuskie)","Do negocjacji"
"Ford Fiesta Mk6","7 900","Klima","170 000 km","2006","1 300 cm3","Benzyna","Ząbkowice Śląskie","(Dolnośląskie)",""
"Opel Insignia 1.6","23 900","1.6 LPG 100% Bezwypadkowy Instalacja Gazowa","158 000 km","2010","1 598 cm3","Benzyna+LPG","Katowice","(Śląskie)","Do negocjacji"
"Mercedes-Benz Klasa C 220","2 500","ROZBITY Mercedes c klasa AUTOMAT","230 000 km","1994","2 199 cm3","Benzyna","Zgierz","(Łódzkie)","Do negocjacji"
"Volkswagen Caddy","119 900","2.0 TDI 150 KM DSG Rocznik 2020 Gwarancja","1 342 km","2020","2 000 cm3","Diesel","Gdańsk","(Pomorskie)","Do negocjacji, Faktura VAT"
"Renault Grand Scenic Gr","8 400","1.9 dCi 120 KM bardzo ładny*Zarejestrowany*7 osób*2 kompl.kół","198 000 km","2005","1 870 cm3","Diesel","Sieradz","(Łódzkie)","Do negocjacji"
"Suzuki SX4","38 900","1.6 benzyna 16V 120KM 4x4 Salon PL Gwarancja Plichta","50 302 km","2014","1 600 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji"
"Škoda Superb","97 900","1.5TSI 150KM Ambition Manual Salon PL Gwarancja","29 862 km","2019","1 500 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji, Faktura VAT"
"Volkswagen Tiguan 2.0","54 800","Okazja 99tyś km Panorama 2.0 TDI Nawigacja Hak","99 100 km","2017","1 968 cm3","Diesel","Poznań","(Wielkopolskie)","Do negocjacji"
"Nissan Juke 1.6","35 600","Nissan Juke model Tekna","97 500 km","2011","1 598 cm3","Benzyna","Katowice","(Śląskie)","Do negocjacji"
"Škoda Fabia","47 900","1.0TSI 95KM Ambition Kamera Cofania Gwarancja Salon PL","26 176 km","2019","1 000 cm3","Benzyna","Gdańsk","(Pomorskie)","Do negocjacji, Faktura VAT"
"Audi A4 B7","22 200","perfekcyjny stan i bardzo dobrze wyposażone ! warto","260 000 km","2006","Diesel","","Jastrzębie-Zdrój","(Śląskie)","Do negocjacji"
"Peugeot 207 CC","17 900","1,6 Benzyna pełna opcja ROLAND GAROSS","124 200 km","2008","1 600 cm3","Benzyna","Morawica","(Świętokrzyskie)","Do negocjacji"
"BMW Seria 3","7 400","COUPE 316i 102KM 1997r. 188.000km!! # rarytas","188 000 km","1997","1 596 cm3","Benzyna","Gostynin","(Mazowieckie)","Do negocjacji"
"Ford Focus Mk2","9 900","1.6 benzynka klima","198 000 km","2007","1 600 cm3","Benzyna","Ząbkowice Śląskie","(Dolnośląskie)",""
"Peugeot 207 CC","7 800","","55 000 km","2012","1 598 cm3","Benzyna","Tuchola","(Kujawsko-pomorskie)","Do negocjacji"
"Volkswagen Golf IV","9 500","Golf IV Pierwszy właściciel","126 472 km","2002","1 598 cm3","Benzyna","Białystok","(Podlaskie)",""
"Renault Espace 2.0T","17 900","2.0 TURBO 170KM / Privilege / Klimatronik /","160 000 km","2007","1 998 cm3","Benzyna","Gniezno","(Wielkopolskie)","Do negocjacji"
"Ford Fiesta","18 999","Benzyna*2011Rok*5 drzwi *Ładny*Opłacony*73 tyś km","73 262 km","2011","1 242 cm3","Benzyna","Sędziszów Małopolski","(Podkarpackie)",""
"Citroën Nemo","15 990","Citroen Nemo","191 243 km","2011","1 248 cm3","Diesel","Siedlce","(Mazowieckie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Ford Grand C-MAX","57 000","Ford Grand C MAX Okazja 28.000 przebieg","28 000 km","2015","1 498 cm3","Benzyna","Rybnik","(Śląskie)","Do negocjacji"
"Renault Laguna","4 900","1,9dci / Klimatronik/ Super stan","229 000 km","2003","1 870 cm3","Diesel","Głubczyce","(Opolskie)","Do negocjacji"
"Renault Scenic","7 900","Bogata wersja. Zadbany","240 236 km","2003","1 890 cm3","Diesel","Żory","(Śląskie)","Do negocjacji"
"Audi A6","189 900","2.0 TDI 204 KM LED S-line Aktywny temp. Navi","10 555 km","2018","2 000 cm3","Diesel","Kielce","(Świętokrzyskie)","Do negocjacji, Faktura VAT"
"Porsche Cayenne Coupe","389 900","Coupe 340KM 4x4 Head Up, Wentylacja, Pneumatyka, ACC Rabat 38% PL!!","18 100 km","2019","2 995 cm3","Benzyna","Łódź","(Łódzkie)","Możliwość odliczenia VAT, Do negocjacji, Faktura VAT"
"Kia Niro 1.6","48 800","Nawigacja Kamera Hybryda","54 000 km","2018","1 580 cm3","Hybryda","Margonin","(Wielkopolskie)",""
"Citroën Berlingo 1.6","6 500","Anglik, prosze czytać opis do końca benzyna z dowodem V5","331 426 km","2011","1 560 cm3","Diesel","Poznań","(Wielkopolskie)",""
"Mercedes-Benz Klasa C 220","1 990","Mercedes Benz C 220 CDI W 203","390 000 km","2001","2 148 cm3","Diesel","Zgierz","(Łódzkie)",""
"Audi A3","67 650","2.0 TDI Lift 82000km!","82 000 km","2017","1 968 cm3","Diesel","Komorniki","(Wielkopolskie)","Możliwość odliczenia VAT, Faktura VAT"
"Volkswagen Golf","10 900","1.4 FSI 90KM 2004r. 123.000km !! (3 drzwi) # perfekcyjny stan","123 000 km","2004","1 390 cm3","Benzyna","Gostynin","(Mazowieckie)","Do negocjacji"
"Volvo S60","8 200","2.4D5, 163km, w pełni sprawny, nie wymaga wkładu, półskóry.","229 482 km","2004","2 400 cm3","Diesel","Poniatowa","(Lubelskie)",""
"Mercedes-Benz Klasa C 220","1 990","Mercedes Benz C 220 CDI W 203","390 000 km","2001","2 148 cm3","Diesel","Zgierz","(Łódzkie)",""
"Audi A3","67 650","2.0 TDI Lift 82000km!","82 000 km","2017","1 968 cm3","Diesel","Komorniki","(Wielkopolskie)","Możliwość odliczenia VAT, Faktura VAT"
"Volkswagen Golf","10 900","1.4 FSI 90KM 2004r. 123.000km !! (3 drzwi) # perfekcyjny stan","123 000 km","2004","1 390 cm3","Benzyna","Gostynin","(Mazowieckie)","Do negocjacji"
"Volvo S60","8 200","2.4D5, 163km, w pełni sprawny, nie wymaga wkładu, półskóry.","229 482 km","2004","2 400 cm3","Diesel","Poniatowa","(Lubelskie)",""
"Mercedes-Benz Klasa C","47 800","Z salonu,AMG,2017/18,Skóra,4 matic","41 000 km","2017","1 991 cm3","Benzyna","Sochaczew","(Mazowieckie)","Faktura VAT"
"Ford Focus 1.0","47 900","Titanium PERFEKCYJNY STAN 100 tys km 125koni","100 000 km","2017","999 cm3","Benzyna","Tomaszów Mazowiecki","(Łódzkie)",""
"Volkswagen Tiguan 2.0","39 500","2.0TDI po lifcie, bezwypadkowy","196 000 km","2011","1 968 cm3","Diesel","Wronki","(Wielkopolskie)",""
"Saab 9-5","4 700","3.0TiD 177KM ! Full Opcja ! Zarejestrowany !","299 000 km","2004","3 000 cm3","Diesel","Zwoleń","(Mazowieckie)","Do negocjacji"
"Volkswagen Tiguan 2.0","37 900","2.0 TDI 4 Motion Manual Bogata Wersja 6 Biegów","188 000 km","2010","1 968 cm3","Diesel","Jarocin","(Wielkopolskie)",""
"Škoda Fabia 1.4","5 000","Fabia1.4 16v Mały przebieg","111 400 km","2004","1 390 cm3","Benzyna","Wrocław","(Dolnośląskie)","Do negocjacji"
"Mitsubishi ASX","39 999","jeszcze w niemczech","103 000 km","2015","1 600 cm3","Benzyna","Tomaszów Lubelski","(Lubelskie)","Do negocjacji"
"Mercedes-Benz Klasa A 180","77 000","","20 547 km","2018","1 595 cm3","Benzyna","Lisi Ogon","(Kujawsko-pomorskie)",""
"Alfa Romeo Mito 1.3","16 999","Alfa Romeo Mito Zarejestrowana w Polsce, niski przebieg","96 000 km","2011","1 248 cm3","Diesel","Pabianice","(Łódzkie)",""
"Ford Fiesta","19 900","Listopad 2012* Serwis ASO*Jedyne 79000* Piękny kolor*Tuv do 10.2022 !","79 000 km","2012","1 242 cm3","Benzyna","Łódź","(Łódzkie)",""
"Citroën C4 Picasso 1.6","18 500","1.6 e hdi ledy alu pdc euro 5 kilka sztuk!","160 000 km","2012","1 560 cm3","Diesel","Pruszków","(Mazowieckie)",""
"Toyota RAV4","65 000","samochód ciężarowy, f VAT 23%,","163 000 km","2013","2 000 cm3","Benzyna","Lublin","(Lubelskie)",""
"Suzuki Grand Vitara 2.0","24 500","Pierwszy właściciel, kupiony w Polsce sprzedam 24500","156 000 km","2007","1 995 cm3","Benzyna","Konin","(Wielkopolskie)","Do negocjacji"
"Škoda Fabia","6 500","Skoda Fabia PIERWSZY WŁAŚCICIEL salon Polska","227 078 km","2005","1 198 cm3","Benzyna","Pogórska Wola","(Małopolskie)","Do negocjacji"
"Ford Kuga 2.0","58 700","2.0 TDCI 150KM EURO 6 4x4 Automat 2 Kluczyki Kamera PDC Titanium","83 000 km","2016","1 997 cm3","Diesel","Łambinowice","(Opolskie)",""
"Hyundai i10","29 518","12.2018r_Klimatyzacja_Niski Przebieg + Aso_Vat23% Raty Zamiana","19 290 km","2018","998 cm3","Benzyna","Gniezno","(Wielkopolskie)","Możliwość odliczenia VAT, Faktura VAT"
"Audi A4 3.0","49 000","Sprzedam Audi A4 3.0 tdi S Line stan idealny","227 000 km","2013","2 967 cm3","Diesel","Kępno","(Wielkopolskie)",""
"Renault Megane","1 900","Renault Megane RT 1.9 DTi 98KM Kombi WEBASTO","297 500 km","2000","1 900 cm3","Diesel","Świdnica","(Dolnośląskie)","Do negocjacji"
"Renault Scenic","3 800","1,9 DCI","284 000 km","2004","1 870 cm3","Diesel","Ruda Śląska","(Śląskie)",""
"Renault Modus","7 500","12.2005 Stan Idealny! Niski przebieg!","110 000 km","2005","1 500 cm3","Diesel","Dąbrowa Tarnowska","(Małopolskie)","Do negocjacji"
"Ford Mustang","15 500","cabrio 2,0 Okazja","180 000 km","2008","Diesel","","Zielonka","(Mazowieckie)","Do negocjacji"
"Citroën C5","15 900","2008 Diesel 1,6","270 000 km","2008","1 560 cm3","Diesel","Wierzbięcice","(Opolskie)",""
"Smart Fortwo I","7 000","600 benzyna Turbo Nowe opony klimatyzacja długie oplaty","148 151 km","2006","600 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Volkswagen Passat","9 000","Passat B5 FL Highline Benzyna+LPG 2.3L 170 KM 4x4 PRYWATNIE","296 000 km","2001","2 324 cm3","Benzyna+LPG","Zakopane","(Małopolskie)","Do negocjacji"
"Peugeot 206","2 900","Zarejestrowany, Klimatyzacja, Alufelgi","129 000 km","2003","1 400 cm3","Benzyna","Gniezno","(Wielkopolskie)","Do negocjacji"
"BMW Seria 3 320d","6 999","BMW e46 320d 150KM Lift","313 700 km","2001","1 951 cm3","Diesel","Kaźmierz","(Wielkopolskie)",""
"Land Rover Discovery II","20 000","Land Rover Discovery II automat","250 000 km","2000","2 495 cm3","Diesel","Warszawa","(Mazowieckie)","Do negocjacji"
"Audi A4","11 900","Sedan 1.9 TDI 101KM 2003r. tylko 285.000km !! # TOTALNY IDEAŁ","285 000 km","2003","1 896 cm3","Diesel","Gostynin","(Mazowieckie)","Do negocjacji"
"Citroën Berlingo","8 700","Multispace Stan Wzorowy","170 000 km","2003","1 587 cm3","Benzyna","Lubartów","(Lubelskie)",""
"Hyundai I30","24 477","","150 000 km","2014","1 582 cm3","Diesel","Wrocław","(Dolnośląskie)","Możliwość odliczenia VAT, Faktura VAT"
"Peugeot 307 1.4","7 900","","149 000 km","2006","1 360 cm3","Benzyna","Warszawa","(Mazowieckie)","Do negocjacji"
"Seat Leon 2.0","11 500","Seat Leon 2.0 TDI Stylance","208 000 km","2006","1 968 cm3","Diesel","Olkusz","(Małopolskie)","Do negocjacji"
"Opel Astra II","7 800","Opel Astra 2.2 Bertone Edition","207 200 km","2001","2 198 cm3","Benzyna","Tomaszów Mazowiecki","(Łódzkie)","Do negocjacji"
"Ford Mondeo 2.0","25 500","Ford Mondeo 2.0","211 000 km","2008","1 999 cm3","Benzyna+LPG","Świętochłowice","(Śląskie)","Do negocjacji"
"Škoda Octavia 1.8","26 000","","193 457 km","2009","1 798 cm3","Benzyna","Wola Wiązowa","(Łódzkie)","Do negocjacji"
"Alfa Romeo 147 1.9","7 380","Alfa Romeo 147, 2006","149 000 km","2006","1 910 cm3","Diesel","Kręczki","(Mazowieckie)","Możliwość odliczenia VAT"
"Opel Astra","28 500","1.6 16V klima nawigacja alu","109 000 km","2011","1 600 cm3","Benzyna","Wschowa","(Lubuskie)","Do negocjacji"
"Fiat Croma","20 900","FIAT Croma 1.9 MULTIJET 150 M","179 000 km","2009","1 910 cm3","Diesel","Lubin","(Dolnośląskie)","Do negocjacji"
"Opel Corsa D","8 000","D rocznik 2009","278 km","2009","1 300 cm3","Diesel","Września","(Wielkopolskie)","Do negocjacji"
"Audi A5 1.8","52 900","Sprzedam weekendową zabawkę Full,Aso,Elektyka POLECAM","149 500 km","2013","1 798 cm3","Benzyna","Chorzów","(Śląskie)","Do negocjacji"
"Citroën Xsara Picasso","5 700","1.8 benzyna lift serwis 177tys km zamiana klimatronik","177 000 km","2005","1 800 cm3","Benzyna","Kamieniec Ząbkowicki","(Dolnośląskie)","Do negocjacji"
"Ford Mondeo Mk4","16 900","2009 Rok 2.0 Tdci","279 000 km","2009","2 000 cm3","Diesel","Tczew","(Pomorskie)","Do negocjacji"
"Volvo XC 60 D3","72 800","Bezwypadkowe 2,0D 150 KM Automat Roczna Gwarancja !!!","170 000 km","2016","1 969 cm3","Diesel","Chodzież","(Wielkopolskie)",""
"Alfa Romeo Spider 2.0","59 900","Spider 2.0 Włoski Roadster w idealnym stanie Gotowy do sezonu!","117 485 km","1991","1 962 cm3","Benzyna","Jabłonna","(Mazowieckie)",""
"Dodge Caliber","14 500","2.0 crd , serwis , zarejestrowany","151 600 km","2008","2 000 cm3","Diesel","Tarnów","(Małopolskie)",""
"Hyundai ix35 2.0","39 900","SALON POLSKA Hyundai IX35 2,0 benzyna+gaz, przeb tylko 62 tyś.","62 500 km","2010","1 998 cm3","Benzyna+LPG","Września","(Wielkopolskie)",""
"Mercedes-Benz CLK","17 300","AMG Carbon Ambient","308 888 km","2002","2 685 cm3","Diesel","Wrocław","(Dolnośląskie)","Do negocjacji"
"Audi A4","29 900","Zarejestrowany, automat, bixenony, ledy","176 200 km","2008","2 000 cm3","Diesel","Malanów","(Wielkopolskie)","Do negocjacji"
"Opel Insignia","47 900","Porządna Insygnia","114 000 km","2014","1 598 cm3","Benzyna","Opin","(Warmińsko-mazurskie)","Do negocjacji"
"Ford Mondeo 1.8","1 500","FORD MONDEO MK2 1.8 115 KM pierwszy właściciel (możliwa zamiana)","281 000 km","1999","1 796 cm3","Benzyna","Wrocław","(Dolnośląskie)","Do negocjacji"
"Peugeot 308 1.6","13 500","Peugeot 308","159 505 km","2008","1 598 cm3","Benzyna","Konary","(Małopolskie)","Do negocjacji"
"Saab 9-3","36 900","210 KM 2.0T Zarejestrowany","66 585 km","2007","1 998 cm3","Benzyna","Sulmierzyce","(Wielkopolskie)","Możliwość odliczenia VAT, Faktura VAT"
"Seat Ibiza","3 700","1.4.benzyna 75ps Klima ważne OC i Przeglad Nowy akus radio CD","168 500 km","2002","1 400 cm3","Benzyna","Nowy Tomyśl","(Wielkopolskie)","Do negocjacji"
"Honda Civic 1.8","33 900","Executive Automat Xenon Panorama","160 614 km","2010","1 799 cm3","Benzyna","Kraków","(Małopolskie)","Do negocjacji"
"Opel Corsa 1.3","4 800","klima","307 000 km","2008","1 248 cm3","Diesel","Tczew","(Pomorskie)",""
"Škoda Fabia","9 800","","330 000 km","2010","1 598 cm3","Diesel","Warszawa","(Mazowieckie)",""
"Opel Astra","32 222","1,6 Hactback mały przebieg 4 szt astra J","58 000 km","2015","1 598 cm3","Benzyna","Sępólno Krajeńskie","(Kujawsko-pomorskie)",""
"Dacia Sandero","21 999","euro 5 benzyna gaz przebieg 18 tys","18 000 km","2018","898 cm3","Benzyna+LPG","Jaworznia","(Świętokrzyskie)",""
"BMW Seria 1 116d","25 900","Bardzo Utrzymana !! Doinwestowana !!","208 200 km","2011","1 995 cm3","Diesel","Cholerzyn","(Małopolskie)",""
"Audi S3","118 000","300KM S Tronic Alufelgi 19'' AWE TUNING Km Nowe opony lato+zima","71 502 km","2016","1 984 cm3","Benzyna","Słupsk","(Pomorskie)",""
"BMW Seria 3","38 500","BMW 325 Coupe M Pakiet","118 000 km","2009","2 993 cm3","Diesel","Toruń","(Kujawsko-pomorskie)",""
"BMW Seria 1","15 200","","233 000 km","2005","1 995 cm3","Diesel","Dąbrowa Widawska","(Łódzkie)","Do negocjacji"
"Ford Focus","1 200","Ford Focus kombi 1.8 DI MK1 (nowy akumulator, uszkodzona pompa paliwa)","275 000 km","2001","1 753 cm3","Diesel","Bilcza","(Świętokrzyskie)",""
"Renault Espace 2.0","3 400","Renault Espace III 2.0 8v + gaz uczciwy opis","342 280 km","1999","1 998 cm3","Benzyna+LPG","Warszawa","(Mazowieckie)",""
